SpeedKmh,RimpullForceN,RetardForceN
0,1100000,
1,1100000,6000000
2,1070210.613,5431500
3,939985.9678,3621000
4,838015.1769,2715750
5,756003.0707,2172600
6,688612.2394,1810500
7,632252.6394,1551857.143
8,584420.6224,1357875
9,543316.891,1207000
10,507615.0811,1086300
11,476315.9589,987545.4545
12,448652.4249,905250
13,424025.8046,835615.3846
14,401962.0294,775928.5714
15,382080.8211,724200
16,364073.5907,678937.5
17,347687.3051,639000
18,332712.5238,603500
19,318974.3982,571736.8421
20,306325.8137,543150
21,294642.1,517285.7143
22,283816.9089,493772.7273
23,273758.9669,472304.3478
24,264389.4963,452625
25,255640.1468,434520
26,247451.3263,417807.6923
27,239770.8411,402333.3333
28,232552.7824,387964.2857
29,225756.6079,374586.2069
30,219346.3803,362100
31,213290.1311,350419.3548
32,207559.3275,339468.75
33,202128.4233,329181.8182
34,196974.4774,319500
35,192076.8308,310371.4286
36,187416.8291,301750
37,182977.5855,293594.5946
38,178743.7758,285868.4211
39,174701.4625,278538.4615
40,170837.9406,271575
41,167141.605,264951.2195
42,163601.8334,258642.8571
43,160208.8849,252627.907
44,156953.8101,246886.3636
45,153828.3727,241400
46,150824.9792,236152.1739
47,147936.6183,231127.6596
48,145156.8052,226312.5
49,142479.5338,221693.8776
50,139899.2331,217260
51,137410.7283,213000
52,135009.2065,208903.8462
53,132690.1855,204962.2642
54,130449.4857,201166.6667
55,128283.2052,197509.0909
56,126187.6972,193982.1429
57,124159.5492,190578.9474
58,122195.5646,187293.1034
59,120292.746,184118.6441
60,118448.2798,181050
