id,startNodeId,endNodeId,bidirectional,type,flipDirection
edge_0,node_45,node_1,FALSE,STANDARD,FALSE
edge_1,node_30,node_31,FALSE,STANDARD,FALSE
edge_2,node_45,node_47,FALSE,STANDARD,FALSE
edge_3,node_39,node_11,FALSE,STANDARD,FALSE
edge_4,node_14,node_18,FALSE,STANDARD,FALSE
edge_5,node_39,node_47,FALSE,STANDARD,TRUE
edge_6,node_40,node_4,FALSE,STANDARD,FALSE
edge_7,node_37,node_40,FALSE,STANDARD,FALSE
edge_8,node_14,node_0,FALSE,STANDARD,FALSE
edge_9,node_28,node_45,FALSE,STANDARD,FALSE
edge_10,node_9,node_35,FALSE,STANDARD,FALSE
edge_11,node_18,node_39,FALSE,STANDARD,TRUE
edge_12,node_6,node_8,TRUE,STANDARD,FALSE
edge_13,node_2,node_17,FALSE,STANDARD,TRUE
edge_14,node_14,node_35,FALSE,STANDARD,TRUE
edge_15,node_44,node_22,FALSE,STANDARD,FALSE
edge_16,node_30,node_37,FALSE,STANDARD,FALSE
edge_17,node_7,node_32,TRUE,STANDARD,FALSE
edge_18,node_47,node_6,FALSE,STANDARD,TRUE
edge_19,node_22,node_33,TRUE,STANDARD,FALSE
edge_20,node_31,node_4,FALSE,STANDARD,TRUE
edge_21,node_10,node_11,FALSE,STANDARD,FALSE
edge_22,node_5,node_30,FALSE,STANDARD,FALSE
edge_23,node_9,node_23,FALSE,STANDARD,TRUE
edge_24,node_20,node_31,FALSE,STANDARD,TRUE
edge_25,node_46,node_22,FALSE,STANDARD,TRUE
edge_26,node_10,node_26,FALSE,STANDARD,FALSE
edge_27,node_18,node_20,FALSE,STANDARD,FALSE
edge_28,node_29,node_23,TRUE,STANDARD,FALSE
edge_29,node_20,node_24,FALSE,STANDARD,FALSE
edge_30,node_13,node_44,FALSE,STANDARD,FALSE
edge_31,node_44,node_46,FALSE,STANDARD,FALSE
edge_32,node_17,node_12,TRUE,STANDARD,FALSE
edge_33,node_38,node_42,TRUE,STANDARD,FALSE
edge_34,node_19,node_34,TRUE,STANDARD,FALSE
edge_35,node_42,node_43,TRUE,STANDARD,FALSE
edge_36,node_38,node_41,TRUE,STANDARD,FALSE
edge_37,node_18,node_0,FALSE,STANDARD,FALSE
edge_38,node_11,node_23,FALSE,STANDARD,FALSE
edge_39,node_28,node_42,FALSE,STANDARD,TRUE
edge_40,node_5,node_21,FALSE,STANDARD,FALSE
edge_41,node_21,node_30,FALSE,STANDARD,FALSE
edge_42,node_40,node_46,FALSE,STANDARD,TRUE
edge_43,node_25,node_28,FALSE,STANDARD,FALSE
edge_44,node_25,node_38,FALSE,STANDARD,FALSE
edge_45,node_1,node_6,TRUE,STANDARD,FALSE
edge_46,node_35,node_16,TRUE,STANDARD,FALSE
edge_47,node_1,node_3,TRUE,STANDARD,FALSE
edge_48,node_2,node_26,FALSE,STANDARD,TRUE
edge_49,node_27,node_26,TRUE,STANDARD,FALSE
edge_50,node_21,node_36,TRUE,STANDARD,FALSE
edge_51,node_40,node_19,FALSE,STANDARD,FALSE
edge_52,node_2,node_9,FALSE,STANDARD,FALSE
edge_53,node_24,node_15,TRUE,STANDARD,FALSE
edge_54,node_13,node_7,FALSE,STANDARD,FALSE
edge_55,node_24,node_25,FALSE,STANDARD,FALSE
edge_56,node_10,node_17,FALSE,STANDARD,FALSE
edge_57,node_37,node_13,FALSE,STANDARD,FALSE
edge_58,node_0,node_5,FALSE,STANDARD,FALSE
edge_59,node_4,node_19,FALSE,STANDARD,TRUE
edge_60,node_44,node_7,FALSE,STANDARD,TRUE
