id,startNodeId,endNodeId,bidirectional,type,flipDirection
edge_0,node_45,node_1,false,STANDARD,false
edge_1,node_30,node_31,false,STANDARD,false
edge_2,node_45,node_47,false,STANDARD,false
edge_3,node_39,node_11,false,STANDARD,false
edge_4,node_14,node_18,false,STANDARD,false
edge_5,node_39,node_47,false,STANDARD,false
edge_6,node_40,node_4,false,STANDARD,false
edge_7,node_37,node_40,false,STANDARD,false
edge_8,node_14,node_0,false,STANDARD,false
edge_9,node_28,node_45,false,STANDARD,false
edge_10,node_9,node_35,false,STANDARD,false
edge_11,node_18,node_39,false,STANDARD,false
edge_12,node_6,node_8,false,STANDARD,false
edge_13,node_2,node_17,false,STANDARD,false
edge_14,node_14,node_35,false,STANDARD,false
edge_15,node_44,node_22,false,STANDARD,false
edge_16,node_30,node_37,false,STANDARD,false
edge_17,node_7,node_32,false,STANDARD,false
edge_18,node_47,node_6,false,STANDARD,false
edge_19,node_22,node_33,false,STANDARD,false
edge_20,node_31,node_4,false,STANDARD,false
edge_21,node_10,node_11,false,STANDARD,false
edge_22,node_5,node_30,false,STANDARD,false
edge_23,node_9,node_23,false,STANDARD,false
edge_24,node_20,node_31,false,STANDARD,false
edge_25,node_46,node_22,false,STANDARD,false
edge_26,node_10,node_26,false,STANDARD,false
edge_27,node_18,node_20,false,STANDARD,false
edge_28,node_29,node_23,false,STANDARD,false
edge_29,node_20,node_24,false,STANDARD,false
edge_30,node_13,node_44,false,STANDARD,false
edge_31,node_44,node_46,false,STANDARD,false
edge_32,node_17,node_12,false,STANDARD,false
edge_33,node_38,node_42,false,STANDARD,false
edge_34,node_19,node_34,false,STANDARD,false
edge_35,node_42,node_43,false,STANDARD,false
edge_36,node_38,node_41,false,STANDARD,false
edge_37,node_18,node_0,false,STANDARD,false
edge_38,node_11,node_23,false,STANDARD,false
edge_39,node_28,node_42,false,STANDARD,false
edge_40,node_5,node_21,false,STANDARD,false
edge_41,node_21,node_30,false,STANDARD,false
edge_42,node_40,node_46,false,STANDARD,false
edge_43,node_25,node_28,false,STANDARD,false
edge_44,node_25,node_38,false,STANDARD,false
edge_45,node_1,node_6,false,STANDARD,false
edge_46,node_35,node_16,false,STANDARD,false
edge_47,node_1,node_3,false,STANDARD,false
edge_48,node_2,node_26,false,STANDARD,false
edge_49,node_27,node_26,false,STANDARD,false
edge_50,node_21,node_36,false,STANDARD,false
edge_51,node_40,node_19,false,STANDARD,false
edge_52,node_2,node_9,false,STANDARD,false
edge_53,node_24,node_15,false,STANDARD,false
edge_54,node_13,node_7,false,STANDARD,false
edge_55,node_24,node_25,false,STANDARD,false
edge_56,node_10,node_17,false,STANDARD,false
edge_57,node_37,node_13,false,STANDARD,false
edge_58,node_0,node_5,false,STANDARD,false
edge_59,node_4,node_19,false,STANDARD,false
edge_60,node_44,node_7,false,STANDARD,false
